nombre,precio,ubicacion,enlace,habitaciones,baños,metros_cuadrados
Se renta hermoso depto en Zona 14!!,"$ 1,625","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/se-renta-hermoso-depto-en-zona-14-daa43252/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Apto tipo loft zona 14 Edificio Torreón,$ 865,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apto-tipo-loft-zona-14-edificio-torreon-daa43246/,Dormitorios: 1,Baños: 1,Tamaño de la propiedad: 100 m2
Apartamento amueblado en renta zona 14,"$ 1,150","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43241/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 104 m2
Rento Apartamento amplio en Reserva 5ta. zon...,"$ 2,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/rento-apartamento-amplio-en-reserva-5ta-zona-14-daa43234/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 121 m2
Rento Apartamento amplio en Reserva 5ta. zon...,"$ 2,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/rento-apartamento-amplio-en-reserva-5ta-zona-14-daa43234-2/,Dormitorios: 3,Baños: 2,Tamaño de la propiedad: 121 m2
ALQUILO APARTAMENTO AMUEBLADO EN ZONA 14 CON...,"$ 1,250","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquilo-apartamento-amueblado-en-zona-14-con-dos-dormitorios-daa43225/,Dormitorios: 2,Baños: 2,No especificado
Apartamento en Alquiler 3 habitaciones Zona ...,"$ 1,635","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-en-alquiler-3-habitaciones-zona-14-daa43209/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 139 m2
Alquiler de cómodo y céntrico Apartamento de...,$ 950,"Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquiler-de-comodo-y-centrico-apartamento-de-2-dorms-zona-14-daa43190/,Dormitorios: 2,Baños: 2,Tamaño de la propiedad: 110 m2
APARTAMENTO AMUEBLADO EN RENTA ATTICA ZONA 1...,"$ 1,650","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/apartamento-amueblado-en-renta-attica-zona-14-daa43189/,Dormitorios: 3,Baños: 3,No especificado
"ALQUILO APARTAMENTO AMUEBLADO, ZONA 14","$ 1,350 Disponible","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquilo-apartamento-amueblado-zona-14-daa43164/,Dormitorios: 3,Baños: 2.5,Tamaño de la propiedad: 120 m2
ALQUILO APARTAMENTO EN ZONA 14  PACIFICA PLA...,"$ 2,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquilo-apartamento-en-zona-14-pacifica-plaza-daa43157/,Dormitorios: 4,Baños: 3.5,Tamaño de la propiedad: 249 m2
ALQUILO APARTAMENTO EN ZONA 14  PACIFICA PLA...,"$ 2,000","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquilo-apartamento-en-zona-14-pacifica-plaza-daa43157/,Dormitorios: 4,Baños: 3.5,Tamaño de la propiedad: 249 m2
Alquilo apartamento amueblado Z. 14,"$ 1,600 Más IVA si se requiere","Zona 14, *Guatemala, Ciudad",https://mapainmueble.com/properties/alquilo-apartamento-amueblado-z-14-caa13368/,Dormitorios: 2,Baños: 3,Tamaño de la propiedad: 165 m2
